motion_idx,motion_name,motion_file,completion_rate,episode_length,motion_length,avg_joint_error,avg_pose_error,max_roll,max_pitch,termination_reason,difficulty_score,joint_score,pose_score,stability_score
0,0807_yanjie_walk_050.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_050.pkl,1.0,3250.0,8.803093910217285,0.23071622848510742,4.814172744750977,3.1413381099700928,1.5599327087402344,unknown,1043.2148498438382,23.071622848510742,481.41727447509766,538.7259525202298
1,0811_static_004.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_004.pkl,1.0,3250.0,15.729565620422363,0.25818413496017456,1.5199100971221924,3.1404995918273926,1.5692522525787354,unknown,717.5072296850893,25.818413496017456,151.99100971221924,539.6978064768526
2,0807_yanjie_walk_023.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_023.pkl,1.0,3250.0,10.8157377243042,0.37691447138786316,3.3841631412506104,3.108827590942383,1.56234610080719,unknown,911.384837083436,37.691447138786316,338.41631412506104,535.2770758195886
3,0807_yanjie_walk_044.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_044.pkl,1.0,3250.0,13.746018409729004,0.4805893898010254,1.5378587245941162,3.0592823028564453,1.559672474861145,unknown,731.1380404895247,48.05893898010254,153.78587245941162,529.2932290500105
4,0807_yanjie_walk_029.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_029.pkl,1.0,3250.0,15.421815872192383,0.28303322196006775,1.2737092971801758,3.1275649070739746,1.560548186302185,unknown,692.8924401749739,28.303322196006775,127.37092971801758,537.2181882609495
5,0807_yanjie_walk_027.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_027.pkl,1.0,3250.0,11.479779243469238,0.27132898569107056,3.259432077407837,3.1369640827178955,1.5693315267562866,unknown,892.377857437531,27.132898569107056,325.9432077407837,539.3017511276403
6,0811_static_021.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_021.pkl,1.0,3250.0,13.08669662475586,0.26797470450401306,4.260845184326172,1.5832762718200684,1.5585259199142456,unknown,812.9060001856745,26.797470450401306,426.0845184326172,360.02401130265605
7,0811_static_001.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0811_static_001.pkl,1.0,3250.0,23.298919677734375,0.28400295972824097,1.1818766593933105,3.118480682373047,1.5617202520370483,unknown,682.8994835419205,28.400295972824097,118.18766593933105,536.3115216297654
8,0807_yanjie_walk_035.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_035.pkl,1.0,3250.0,8.370552062988281,0.3079756796360016,0.9506030678749084,2.8680496215820312,1.535640001296997,unknown,630.4835341041419,30.79756796360016,95.06030678749084,504.6256593530509
9,0807_yanjie_walk_008.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_008.pkl,1.0,3250.0,7.2695698738098145,0.29690513014793396,22.229825973510742,3.119232654571533,1.5538429021835327,unknown,2788.168123861493,29.690513014793396,2222.982597351074,535.4950134956254
10,0807_yanjie_walk_043.pkl,/home/huanghao/source/datasets/gmr_retarget_x/v1_v2_v3_g1_numpy123/0807_yanjie_walk_043.pkl,1.0,3250.0,7.56650447845459,0.24408140778541565,8.79794979095459,3.1376116275787354,1.5678062438964844,unknown,1443.4042896359233,24.408140778541565,879.794979095459,539.2011697619226
